"Product Code","Product Name",Variant,Expected,Counted
04151695,"MI 10a",,-1.0000,
1019,"Atta Cookies",,111.0000,
1020,"Almond cookies",,104.0000,
1021,"Coconut Badam Cookies",,174.0000,
1040,"Anarkali Suit",,84.0000,
1041,"Blue One Piece Short Dress",,57.0000,
1151,"Onion garlic Paste",,-1.0000,
1159,"Madhur Sugar",,-1.0000,
30404940,"SILVER COIN SUGAR",,94.0000,
32121838,"Vivo V15 Pro",,105.0000,
388554230,Methi,,-1.0000,
4012,"API Test Product 1 Packed non Variant",,512.0000,
4013,"API Test Product 2 Loose Variant 18%",,130.0000,
43506966,"Oppo F11 Pro",,100.0000,
460092470,Pineapple,,96.0000,
460848475,Grapes,,97.0000,
55903837,"Apple Mac Book Pro",,100.0000,
601354339,Papaya,,60.0000,
68370593,"Apple Iphone 11",,100.0000,
70525786,"Redmi 9 pro max",,124.0000,
852118998,Oranges,,98.0000,
95199957,"Silver coin Maida",,97.5000,
959654288,Apple,,-2.0000,
