"Product Code","Product Name",Variant,Expected,Counted
00265255,TShirt,,0.0000,
04151695,"MI 10a","12GB RAM",7.0000,
04151695,"MI 10a","6GB RAM",5.0000,
04151695,"MI 10a","32GB RAM",8.0000,
04760673,"Asus Zenfone Laser 2",,91.0000,
1001,"chocalate cake 1kg",,0.0000,
1002,"Strawberry cake",,10.0000,
1016,"Choco-chips cookies",,1000.0000,
1019,"Atta Cookies",,107.0000,
1020,"Almond cookies",,0.0000,
1021,"Coconut Badam Cookies",,76.0000,
10217029,"Sardar emb",,-1.0000,
1040,"Anarkali Suit",,83.0000,
1041,"Blue One Piece Short Dress",,1.0000,
1052,"Mango Juice",,-1.0000,
1055,"Green Tea",,946.0000,
1056,"Lemon Ice Tea",,987.0000,
1061,"Chocolate Ice cream Shake",,1000.0000,
1070,"Puma Ketava III DP Slippers",,170.0000,
1073,"Puma Ketava III DPFlipflops",,49.0000,
1079,"Puma Icon IDP Canvas Shoe",,18.0000,
1091,"Agrimate -AF 2000 NT Fogging machine",,-7.0000,
1151,"Onion garlic Paste",,-1.0000,
1159,"Madhur Sugar",,-1.0000,
19218412,"Rupchand fish emb blue",,-1.0000,
24049013,Breakfast,,90.0000,
30404940,"SILVER COIN SUGAR",,90.0000,
32121838,"Vivo V15 Pro",,104.0000,
38002374,"Janasya Women's Yellow Poly Crepe Flared Kurta",,0.0000,
388554230,Methi,,-1.0000,
4012,"API Test Product 1 Packed non Variant",,473.0000,
4013,"API Test Product 2 Loose Variant 18%",2kg,-6.0000,
43506966,"Oppo F11 Pro",,99.0000,
44000822,Lunch,,91.0000,
460092470,Pineapple,,91.0000,
460848475,Grapes,,94.0000,
548371346,"Green Chillies",,-6.0000,
55903837,"Apple Mac Book Pro",,100.0000,
601354339,Papaya,,35.0000,
67963670,Window,,100.0000,
68370593,"Apple Iphone 11",,100.0000,
70525786,"Redmi 9 pro max",,124.0000,
74054212,"Dinner Extra",,100.0000,
804595403,Pomegranate,,-1.0000,
852118998,Oranges,,97.0000,
91873420,Dinner,,74.0000,
95199957,"Silver coin Maida",,99.0000,
959654288,Apple,,-2.0000,
